2021-06-04T16:29:25.114Z [AUDIT] Token created by 'anonymous': tokenId='6d2011dd-438b-483f-ab53-faf1a961a898', issuer='jfrou@01f7bxpwt3bxgstp75wx9ybgem', subject='jfrou@01f7bxpwt3bxgstp75wx9ybgem', expiry=none, refreshable=false
2021-06-04T17:44:56.864Z [AUDIT] Token created by 'jffe@000': tokenId='1000ae9a-2a83-4472-8161-a19d826c2e09', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829296863, refreshable=false
2021-06-04T17:44:57.341Z [AUDIT] Token created by 'jffe@000': tokenId='4bed2301-4ddc-47c0-9fa5-68898412922f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829297341, refreshable=false
2021-06-04T17:46:49.965Z [AUDIT] Token revoked by 'jffe@000': tokenId='d3779e0f-3282-47a6-85e6-c0ea38d3701b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830496689, refreshable=true
2021-06-04T17:46:52.752Z [AUDIT] Token created by 'jffe@000': tokenId='d66ca57b-b248-417f-8b9c-32ba50de3eb5', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622830612744, refreshable=true
2021-06-04T17:46:52.867Z [AUDIT] Token created by 'jffe@000': tokenId='65adbab7-d620-4795-96d1-9aa6db27575f', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622829412866, refreshable=false
2021-06-04T17:46:53.401Z [AUDIT] Token created by 'jffe@000': tokenId='411a4259-0751-4722-b562-b47aef031096', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622829413401, refreshable=false
2021-06-04T17:46:53.642Z [AUDIT] Token created by 'jffe@000': tokenId='56b7cc3e-eba5-4058-b736-70b9ede6fadc', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622829413642, refreshable=false
2021-06-04T17:50:35.857Z [AUDIT] Token created by 'jffe@000': tokenId='67dcda57-56df-403a-9728-8524cbdd8f61', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622829635857, refreshable=false
2021-06-04T17:50:35.857Z [AUDIT] Token created by 'jffe@000': tokenId='5790eb79-5b1d-4bc0-8c78-aa1f2fbff9a1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622829635857, refreshable=false
2021-06-04T17:50:35.865Z [AUDIT] Token created by 'jffe@000': tokenId='89fcec8b-ead3-45e2-a5e4-133a34baa5d0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622829635865, refreshable=false
2021-06-04T17:52:13.818Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='d66ca57b-b248-417f-8b9c-32ba50de3eb5', tokenId='4847e0f0-b6bf-44bf-b4f4-3427bfee95b7', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622830933814, refreshable=true
2021-06-04T17:56:53.543Z [AUDIT] Token created by 'jffe@000': tokenId='66f06416-dfaf-48b3-bb52-9c31200362f8', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622830013543, refreshable=false
2021-06-04T18:00:36.001Z [AUDIT] Token created by 'jffe@000': tokenId='26cf26c6-779c-48d6-afe4-16c83919ecb3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622830236001, refreshable=false
2021-06-04T18:00:36.002Z [AUDIT] Token created by 'jffe@000': tokenId='12608407-787e-4a96-8d4d-2d425f973e30', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622830236001, refreshable=false
2021-06-04T18:00:36.017Z [AUDIT] Token created by 'jffe@000': tokenId='0ffd3f16-b0b2-4a5a-bae6-153dd072dd55', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622830236017, refreshable=false
2021-06-04T18:06:53.536Z [AUDIT] Token created by 'jffe@000': tokenId='40752346-7827-4463-8f65-6a20fd897c6d', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622830613536, refreshable=false
2021-06-04T18:08:52.088Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='4847e0f0-b6bf-44bf-b4f4-3427bfee95b7', tokenId='332c0ff9-e558-4892-8854-265b1c8b7df3', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622831932080, refreshable=true
2021-06-04T18:09:21.414Z [AUDIT] Token revoked by 'jffe@000': tokenId='332c0ff9-e558-4892-8854-265b1c8b7df3', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622831932080, refreshable=true
2021-06-04T18:09:21.696Z [AUDIT] Token created by 'jffe@000': tokenId='02f03713-7b2e-4bf8-b9e5-c76d5b7536ff', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622830761695, refreshable=false
2021-06-04T18:09:21.719Z [AUDIT] Token created by 'jffe@000': tokenId='0b88395f-8532-45de-ab32-df1452fbc3cc', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622830761719, refreshable=false
2021-06-04T18:09:21.719Z [AUDIT] Token created by 'jffe@000': tokenId='8536bf4a-a159-4119-ba5e-e69c613f0498', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622830761719, refreshable=false
2021-06-04T18:09:21.745Z [AUDIT] Token created by 'jffe@000': tokenId='cd47d55b-0225-41ac-9d14-9d2a4aa40d9d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622830761745, refreshable=false
2021-06-04T18:09:24.636Z [AUDIT] Token created by 'jffe@000': tokenId='30243d32-2c60-4aac-bda3-b5e5f4ffd088', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622831964632, refreshable=true
